source,target,weight
357523121,2149412456,1.0
1493248418,2149412456,1.0
68611923,2149412456,1.0
1070785811396919297,179245596,1.0
1150143856618430464,14372270,1.0
802584787,14372270,1.0
1178967284297154563,14372270,1.0
216776631,14372270,1.0
920122212,14372270,1.0
1178967284297154563,18805188,1.0
598973191,18805188,1.0
4864402683,1345940180,1.0
127156294,1345940180,1.0
18805188,1345940180,1.0
2864856363,905153319253004288,1.0
470468291,905153319253004288,1.0
1157065455623954432,21862217,1.0
1722834998,21862217,1.0
1162757233987522562,21862217,1.0
1145899973139034112,21862217,1.0
408875175,21862217,1.0
1496936984,21862217,1.0
219915177,21862217,1.0
16691174,21862217,1.0
1131542859902083072,21862217,1.0
76751473,21862217,1.0
1184362499518402560,21862217,1.0
16582131,33913156,1.0
756903193901162496,33913156,1.0
30354991,3644915056,1.0
20640982,3644915056,1.0
2178932921,3644915056,1.0
61734492,3644915056,1.0
33913156,3644915056,1.0
847111508890976257,204444440,1.0
1094282233949622272,204444440,1.0
123281100,2955491920,1.0
887742563444301824,2955491920,1.0
2955491920,830886553123700736,1.0
2559436158,2917736960,1.0
1148461061999194112,2917736960,1.0
1067293117,2917736960,1.0
216776631,2917736960,1.0
21862217,2324935292,1.0
357606935,1123329338,1.0
711287276479754241,16930125,1.0
13524182,16930125,1.0
1127347059676385280,16930125,1.0
76763663,16930125,1.0
758042170968375296,16930125,1.0
802584787,16930125,1.0
4864402683,16930125,1.0
1145899973139034112,16930125,1.0
920122212,16930125,1.0
183673918,16930125,1.0
1150860862426628101,16930125,1.0
548384458,885722677,1.0
27282113,885722677,1.0
96675300,885722677,1.0
15976705,885722677,1.0
1086976130819809280,612557998,1.0
27282113,612557998,1.0
15976705,612557998,1.0
771152516,832170559,1.0
1722834998,832170559,1.0
14823835,832170559,1.0
219915177,832170559,1.0
25073877,762390432437399556,1.0
245963716,762390432437399556,1.0
2353605901,762390432437399556,1.0
2955491920,912735824793493504,1.0
1157065455623954432,1190136594352590849,1.0
1162757233987522562,1190136594352590849,1.0
1194787827168563200,1190136594352590849,1.0
1145899973139034112,1190136594352590849,1.0
21862217,1190136594352590849,1.0
2324935292,1190136594352590849,1.0
18266688,418867782,1.0
2353605901,418867782,1.0
3530404094,418867782,1.0
25837289,418867782,1.0
729676086632656900,418867782,1.0
19894290,1037989633,1.0
1157065455623954432,1037989633,1.0
1109400043881226240,1037989633,1.0
1162757233987522562,1037989633,1.0
1194787827168563200,1037989633,1.0
1184362499518402560,1037989633,1.0
2324935292,1037989633,1.0
1159058331320901633,1120819174476062722,1.0
3152337114,1120819174476062722,1.0
860530914,1120819174476062722,1.0
818910970567344128,1127683471592296448,1.0
245963716,1127683471592296448,1.0
3530404094,1127683471592296448,1.0
778743512,1127683471592296448,1.0
470468291,1127683471592296448,1.0
818910970567344128,84894878,1.0
2353605901,84894878,1.0
39076082,84894878,1.0
778743512,84894878,1.0
