domain,bias
telegram.com,right leaning
thebias.org,right leaning
chicagodaily.pro,extreme bias right
www.xxlmag.com,center
www.lifenews.com,extreme bias right
LifeNews.com,extreme bias right
ktla.com,center
on.ktla.com,center
motherboard.vice.com,left leaning
www.vice.com,left leaning
video.vice.com,left leaning
yna.kr,right leaning
en.yna.co.kr,right leaning
golfchannel.com,center
www.elmundo.es,right leaning
amp.elmundo.es,right leaning
tdn.com,center
www.marketwatch.com,right leaning
marketwatch.com,right leaning
www.sbs.com.au,left leaning
sbs.com.au,left leaning
www.sfgate.com,left leaning
m.sfgate.com,left leaning
midmichigannow.com,center
www.ndtv.com,left leaning
khabar.ndtv.com,left leaning
ndtv.com,left leaning
gadgets.ndtv.com,left leaning
english.alarabiya.net,right leaning
www.alarabiya.net,right leaning
theintercept.com,left
interc.pt,left
static.theintercept.com,left
www.theroot.com,left
verysmartbrothas.theroot.com,left
theglowup.theroot.com,left
www.ny1.com,center
ny1.com,center
azcapitoltimes.com,left leaning
theslot.jezebel.com,extreme bias left
jezebel.com,extreme bias left
latinus.us,left
www.wired.com,left leaning
wired.trib.al,left leaning
wired.jp,left leaning
www.wired.co.uk,left leaning
www.wired.co.uk,left leaning
www.wired.it,left leaning
wired.com,left leaning
www.wsbtv.com,center
www.hotnewhiphop.com,center
mediavenir.fr,center
foreignpolicy.com,center
notthebee.com,right
www.chicagotribune.com,right leaning
bylinetimes.com,left leaning
www.fox5atlanta.com,center
www.ktvu.com,center
ktvu.com,center
gaceta.es,right leaning
www.eltiempo.com,center
ver.abc.es,right leaning
www.abc.es,right leaning
mundo.abc.es,right leaning
abcblogs.abc.es,right leaning
jacobinmag.com,left
www.jacobinmag.com,left
popwrapped.com,center
thebulwark.com,right leaning
podcast.thebulwark.com,right leaning
morningshots.thebulwark.com,right leaning
thetriad.thebulwark.com,right leaning
plus.thebulwark.com,right leaning
panampost.com,right
es.panampost.com,right
en.panampost.com,right
www.stltoday.com,left leaning
stltoday.com,left leaning
www.ctvnews.ca,center
toronto.ctvnews.ca,center
winnipeg.ctvnews.ca,center
kitchener.ctvnews.ca,center
regina.ctvnews.ca,center
bc.ctvnews.ca,center
atlantic.ctvnews.ca,center
ottawa.ctvnews.ca,center
CTVNews.ca,center
naacp.org,left
www.naacp.org,left
NAACP.org,left
www.jsonline.com,left leaning
rssfeeds.jsonline.com,left leaning
amp.jsonline.com,left leaning
www.desmoinesregister.com,center
amp.desmoinesregister.com,center
rssfeeds.desmoinesregister.com,center
data.desmoinesregister.com,center
features.desmoinesregister.com,center
www.thenation.com,left
thenation.com,left
www.dw.com,left leaning
p.dw.com,left leaning
dw.com,left leaning
m.dw.com,left leaning
amp.dw.com,left leaning
theappeal.org,left leaning
www.readfrontier.org,left leaning
www.cnews.fr,right leaning
www.seattletimes.com,left leaning
projects.seattletimes.com,left leaning
seattletimes.com,left leaning
deadline.com,left leaning
www.hindustantimes.com,left leaning
m.hindustantimes.com,left leaning
www.lemonde.fr,left leaning
www.amimagazine.org,right
europeelects.eu,center
www.detroitnews.com,right leaning
amp.detroitnews.com,right leaning
detroitnews.com,right leaning
eu.detroitnews.com,right leaning
wakeuptopolitics.com,center
AmericasVoice.news,right
americasvoice.news,right
americasvoice.org,right
americasvoice.app,right
thereal.com,left leaning
sptnkne.ws,right
sputnikglobe.com,right
www.msn.com,left leaning
a.msn.com,left leaning
msn.com,left leaning
www.counterpunch.org,left
CounterPunch.org,left
www.valeursactuelles.com,extreme bias right
elpasomatters.org,center
tyt.com,left
TYT.com,left
reason.com,right leaning
Reason.com,right leaning
reason.org,right leaning
www.christianitytoday.com,right leaning
www.newsbusters.org,extreme bias right
newsbusters.org,extreme bias right
www.salon.com,left
salon.com,left
