user_id,degree,community_id,weighted_degree,pagerank
810590628727914496,2,5,3.0,0.000526072741118353
172511244,4,0,5.0,0.000526072741118353
1095406392662323200,11,7,13.0,0.0007435218154687117
860654500431880192,5,6,6.0,0.0005405025414439069
279673090,2,7,3.0,0.0006524671239513979
1591400760,1,1,2.0,0.000526072741118353
45399148,4,1,5.0,0.000526072741118353
2986727763,3,7,4.0,0.0009562381704581492
7027112,5,13,7.0,0.0007153478811747903
21522338,3,7,4.0,0.0006844749280975912
388383447,15,7,18.0,0.002370861297371732
429227921,5,7,6.0,0.0005998453529521134
813738086282694656,3,6,4.0,0.000526072741118353
972180115252752384,3,6,4.0,0.0008157353189432968
26637348,8,4,9.0,0.000526072741118353
31403779,3,9,4.0,0.000526072741118353
49698134,4,9,5.0,0.000815364882492043
125453969,24,6,25.0,0.0005558943284578307
21495530,12,6,13.0,0.0007094182945886511
881998724720996353,5,7,6.0,0.000649773928903234
4541535439,4,6,5.0,0.000526072741118353
3345579826,20,5,21.0,0.0013238656515086615
235784044,14,6,15.0,0.0011807233179748403
3930472251,6,13,7.0,0.0005842287978514033
179732982,6,9,7.0,0.0007292602125285529
897607805334544388,2,0,3.0,0.0008700214953089127
1230524319102578688,3,13,6.0,0.003961356960002672
532774390,1,13,2.0,0.003723115083561422
489716862,4,13,5.0,0.000526072741118353
15770620,2,1,4.0,0.00072358982134885
246103,17,6,18.0,0.0005409074202294621
874323410,1,6,2.0,0.0005835628821183282
563712850,1,0,2.0,0.0005891178702586827
1080477288955826176,1,6,2.0,0.0007328292300746925
25837289,1,0,2.0,0.0008691753443136854
46775436,2,13,3.0,0.0005646398005973424
744313625398108160,2,13,3.0,0.000526072741118353
1225147380284018688,1,13,2.0,0.000526072741118353
160244947,19,6,20.0,0.0006120514467467427
2800581040,6,6,7.0,0.000526072741118353
2573480784,15,6,15.0,0.000526072741118353
2421067430,5,6,5.0,0.0005558943284578307
20068679,2,7,2.0,0.000526072741118353
864442399191420928,1,13,1.0,0.00058576382528083
812135885328236551,2,0,2.0,0.0008580926279973013
240760644,4,0,4.0,0.0017908087884037356
792096589191852033,4,0,4.0,0.000781257210734601
1001592024254971904,4,7,4.0,0.000526072741118353
230014111,8,7,8.0,0.0013112712654751628
703069812050829313,11,7,11.0,0.0012030591242790515
16664309,9,7,9.0,0.0006379036936413946
133081348,4,7,4.0,0.0009019582164998953
221609949,2,7,2.0,0.000526072741118353
22879254,6,6,6.0,0.0007968117554882509
3400444895,14,6,14.0,0.0010098809903877997
1159058331320901633,5,12,5.0,0.0009733965512105194
1036689453895610370,1,12,1.0,0.0007328655757361101
261852987,3,6,3.0,0.0006257418844049143
16912124,11,6,11.0,0.0007775765504717212
126901915,20,6,20.0,0.0007033327056084802
19084896,12,6,12.0,0.0006286189952686748
1218076646546333696,3,6,3.0,0.0012546166553894927
14270650,1,1,1.0,0.000526072741118353
742453163098296320,8,7,8.0,0.0014354180959357831
24127811,1,7,1.0,0.000526072741118353
823998756655861760,4,7,4.0,0.0005558943284578307
711408636153561088,12,6,12.0,0.0005349431027615664
1018697824282656768,3,6,3.0,0.0005326510324432379
25974425,1,6,1.0,0.000526072741118353
1098382485296173056,17,13,17.0,0.0008852979689228488
16581604,15,6,15.0,0.0006070925388668982
194071815,2,7,2.0,0.0007056894051647548
1586031511,1,5,1.0,0.000526072741118353
327862439,5,13,5.0,0.000526072741118353
234865212,3,6,3.0,0.0006155375031367863
818246053468262401,11,6,11.0,0.0005683610973004997
